id;name;price;stock;img;category;tag;description
organizador-despensa;Organizador de despensa extensible;48900;10;/Productos/organizador-despensa.png;Organización;Top ventas;Organizador ajustable ideal para maximizar el espacio en tu despensa.
separadores-cajon;Separadores de cajón ajustables (x4);39900;15;/Productos/separadores-cajon.png;Organización;Nuevo;Set de 4 separadores ajustables perfectos para organizar ropa y accesorios.
ganchos-adhesivos;Ganchos adhesivos multiuso (x6);19900;25;/Productos/ganchos-adhesivos.png;Organización;;Ganchos resistentes sin necesidad de taladro.
caja-plegable;Cajas plegables apilables;45900;12;/Productos/caja-plegable.png;Organización;;Cajas prácticas y resistentes que ahorran espacio.
organizador-zapatos;Organizador para zapatos (x6);49900;8;/Productos/organizador-zapatos.png;Organización;;Optimiza el espacio de tu clóset con este organizador compacto.
dispensador-jabon;Dispensador de jabón con esponja;35900;20;/Productos/dispensador-jabon.png;Cocina;Recomendado;Dispensador 2 en 1 que facilita el lavado.
escurridor-plegable;Escurridor plegable para lavaplatos;52900;10;/Productos/escurridor-plegable.png;Cocina;;Escurridor flexible y resistente.
organizador-tapas;Organizador de tapas y sartenes;42900;9;/Productos/organizador-tapas.png;Cocina;;Mantén tus tapas organizadas.
cuchillos-ceramica;Set cuchillos de cerámica (3 pzas);69900;6;/Productos/cuchillos-ceramica.png;Cocina;Oferta;Cuchillos ultra afilados y livianos.
trapero-microfibra;Trapero 360° de microfibra;79900;7;/Productos/trapero-microfibra.png;Limpieza;;Trapero giratorio para limpieza profunda.
cepillo-electrico;Cepillo eléctrico de limpieza;84900;5;/Productos/cepillo-electrico.png;Limpieza;;Cepillo recargable ideal para baños y cocina.
toallas-microfibra;Toallas de microfibra ultraabsorbentes;29900;18;/Productos/toallas-microfibra.png;Limpieza;;Pack de toallas de alta absorción.
portacepillos;Portacepillos adhesivo sin taladro;24900;14;/Productos/portacepillos.png;Baño;;Instalación fácil sin perforaciones.
porta-papel;Porta papel higiénico adhesivo;21900;16;/Productos/porta-papel.png;Baño;;Diseño moderno y resistente.
cabezal-ducha;Cabezal de ducha de presión;55900;11;/Productos/cabezal-ducha.png;Baño;;Mayor presión y ahorro de agua.
luz-armario;Luz para armario con sensor;41900;13;/Productos/luz-armario.png;Iluminación;;Encendido automático por movimiento.
tira-led;Tira LED adhesiva (5 m);48900;10;/Productos/tira-led.png;Iluminación;;Ilumina cualquier espacio fácilmente.
tapete-antiderrame;Tapete antiderrame para cocina;32900;17;/Productos/tapete-antiderrame.png;Otros;;Protege el suelo de líquidos y suciedad.
